#gene	KO-hom	KO-het	DMG-hom	DMG-het	BEN-hom	BEN-het
AK000953	0	0	0	0	0	7
AK001057	0	0	0	0	2	178
AK001351	0	0	0	0	2	184
AK001533	0	0	0	0	3	122
AK001928	0	0	0	0	14	215
AK001975	0	0	0	9	0	10
AK002090	0	0	0	0	34	450
AK021537	0	0	0	0	20	322
AK021563	0	0	0	0	0	1
AK021664	0	0	0	0	2	58
AK021739	0	0	0	0	4	104
AK021804	0	0	0	0	4	177
AK021876	0	0	0	0	13	151
AK021977	0	0	0	0	60	1134
AK022030	0	0	0	0	1	409
AK022787	0	0	0	0	13	226
AK022993	0	0	0	0	16	412
AK023033	0	0	0	0	1	111
AK023159	0	0	0	0	2	90
AK023178	0	0	0	0	0	38
AK023507	0	0	0	0	0	145
AK023566	0	0	0	0	0	79
AK023627	0	0	0	0	5	313
AK024092	0	0	0	0	9	251
AK024134	0	0	0	0	1	152
AK024242	0	0	0	0	0	7
AK024535	0	0	0	0	1	86
AK024936	0	0	0	0	2	143
AK025061	0	0	1	16	1	170
AK025117	0	0	0	0	10	307
AK025127	0	0	0	5	6	140
AK025288	0	0	0	0	10	293
AK025511	0	0	0	0	66	1682
AK025664	0	0	0	1	19	525
AK025793	0	0	0	0	10	465
AK026244	0	0	0	0	2	63
AK026379	0	0	0	0	5	49
AK026392	0	0	0	0	21	495
AK026512	0	0	0	0	17	246
AK026714	0	0	0	0	37	662
AK026758	0	0	0	0	29	563
AK026777	0	0	0	0	46	1301
AK026905	0	0	0	0	35	607
AK027145	0	0	0	0	12	514
AK027190	0	0	0	0	0	53
AK027252	0	0	0	0	0	82
AK027257	0	0	0	0	20	439
AK027332	0	0	0	0	44	515
AK027840	0	0	0	0	13	476
AK054623	0	0	0	0	13	317
AK054710	0	0	0	0	7	259
AK054726	0	0	0	0	20	248
AK054753	0	0	0	0	1	61
AK054837	0	0	0	0	37	790
AK054921	0	0	0	0	3	21
AK054972	0	0	0	0	22	405
AK054988	0	0	0	0	1	49
AK055017	0	0	0	0	9	177
AK055055	0	0	1	60	16	241
AK055197	0	0	0	0	30	658
AK055257	0	0	0	0	1	91
AK055368	0	0	0	0	44	947
AK055384	0	0	0	0	6	179
AK055408	0	0	0	0	0	1
AK055458	0	0	0	0	8	489
AK055533	0	0	0	0	7	205
AK055601	0	0	0	0	79	1288
AK055631	0	0	0	0	1	127
AK055656	0	0	0	0	0	1
AK055772	0	0	0	0	31	584
AK055785	0	0	0	0	9	249
AK055849	0	0	0	0	5	224
AK055853	0	0	0	0	34	499
AK055876	0	0	0	0	23	190
AK055910	0	0	0	0	0	256
AK055918	0	0	0	0	0	3
AK055932	0	0	0	0	3	235
AK055981	0	0	0	0	16	313
AK056073	0	0	0	0	98	1370
AK056098	0	0	0	0	5	220
AK056182	0	0	0	0	11	398
AK056246	0	0	0	0	6	114
AK056431	0	0	0	0	44	392
AK056432	0	0	0	0	24	559
AK056505	0	0	0	0	56	1231
AK056524	0	0	0	0	0	13
AK056625	0	0	0	0	25	534
AK056657	0	0	0	0	1	211
AK057177	0	0	0	0	10	238
AK057188	0	0	0	0	5	281
AK057316	0	0	0	0	924	15552
AK057317	0	0	0	0	28	345
AK057321	0	0	0	0	0	49
AK057332	0	0	0	0	2	107
AK057448	0	0	0	0	37	387
AK057473	0	0	0	0	4	45
AK057554	0	0	0	0	5	112
AK057604	0	0	0	0	0	14
AK057657	0	0	0	0	52	793
AK057681	0	0	0	0	19	389
AK057689	0	0	0	0	0	37
AK057719	0	0	0	0	12	380
AK057766	0	0	0	0	913	13775
AK057897	0	0	0	0	0	48
AK057978	0	0	0	0	22	559
AK058177	0	0	0	0	1	115
AK074469	0	0	0	0	42	557
AK074476	0	0	0	0	0	10
AK074615	0	0	4	70	10	340
AK075019	0	0	0	0	17	458
AK090553	0	0	0	0	4	56
AK090674	0	0	0	0	35	350
AK090681	0	0	0	0	2	22
AK090688	0	0	0	0	0	45
AK090700	0	0	0	0	11	393
AK090736	0	0	0	0	3	159
AK090844	0	0	0	0	18	384
AK090895	0	0	0	0	3	212
AK090973	0	0	0	0	4	84
AK091070	0	0	0	0	106	1191
AK091102	0	0	0	0	14	400
AK091275	0	0	0	0	0	30
AK091365	0	0	0	0	0	4
AK091593	0	0	0	3	0	8
AK091624	0	0	0	0	14	312
AK092048	0	0	0	0	0	9
AK092087	0	0	0	0	0	10
AK092098	0	0	0	0	29	466
AK092251	0	0	0	0	1996	30280
AK092313	0	0	0	0	31	305
AK092331	0	0	0	0	31	581
AK092380	0	0	0	0	61	715
AK092965	0	0	0	9	8	100
AK093026	0	0	0	0	18	331
AK093214	0	0	0	0	55	1113
AK093299	0	0	0	0	20	161
AK093356	0	0	0	0	3	99
AK093381	0	0	0	0	41	438
AK093412	0	0	0	0	12	523
AK093443	0	0	0	0	0	10
AK093513	0	0	0	7	14	196
AK093519	0	0	0	0	12	529
AK093534	0	0	0	0	1	71
AK093555	0	0	0	0	20	431
AK093600	0	0	0	0	38	834
AK093892	0	0	0	0	0	10
AK094156	0	0	0	0	0	24
AK094280	0	0	0	0	11	153
AK094325	0	0	0	0	21	446
AK094342	0	0	0	0	31	533
AK094413	0	0	0	0	0	1
AK094480	0	0	0	0	1	275
AK094577	4	97	0	6	0	36
AK094611	0	0	0	0	21	585
AK094639	0	0	0	0	3	286
AK094786	0	0	0	0	9	296
AK094818	0	0	0	0	20	385
AK094915	0	0	0	1	11	170
AK094916	0	0	0	0	11	459
AK094934	0	0	0	0	109	1105
AK094985	0	0	0	0	14	506
AK094990	0	0	0	0	4	207
AK095057	0	0	0	0	64	985
AK095081	0	0	0	3	35	576
AK095151	0	0	0	0	5	249
AK095179	0	0	0	0	2	371
AK095221	0	0	0	0	8	312
AK095242	0	0	0	0	8	307
AK095267	0	0	0	0	27	505
AK095335	0	0	0	0	0	5
AK095366	0	0	0	0	3	286
AK095439	0	0	0	0	7	100
AK095546	0	0	0	0	23	502
AK095621	0	0	0	0	7	265
AK095700	0	0	0	9	15	281
AK095721	0	0	0	0	0	10
AK095988	0	0	0	0	72	1267
AK096066	0	0	0	0	0	174
AK096219	0	0	0	0	29	490
AK096230	0	0	0	33	26	819
AK096233	0	0	0	0	0	35
AK096249	0	0	0	8	3	158
AK096291	0	0	0	0	30	723
AK096314	0	0	0	1	23	464
AK096335	0	0	0	0	0	5
AK096395	0	0	0	22	28	383
AK096549	0	0	0	0	0	11
AK096592	0	0	0	0	0	108
AK096718	0	0	0	0	21	372
AK096792	0	0	0	0	0	15
AK096834	0	0	0	0	0	157
AK096898	0	0	0	5	0	81
AK096976	0	0	0	0	66	747
AK096995	0	0	0	14	1	90
AK097012	0	0	0	0	30	769
AK097119	0	0	0	0	9	360
AK097161	0	0	0	0	0	21
AK097184	0	0	0	0	30	777
AK097242	0	0	0	0	17	428
AK097289	8	115	1	165	18	456
AK097447	0	0	0	0	0	28
AK097453	0	0	0	0	0	23
AK097472	0	0	0	0	1	136
